Department,dep_counts
mathematics,1
statistics,1
aplied mathematics with oceanology and computer programming,1
mathematics,2
aplied mathematics with oceanology and computer programming,1
mathematics,1
atrs,1
b. tech,1
b.tech in electronics and communication engineering,1
b.tech in electronics and communication engineering,1
b. pharmacy,2
statistics,2
b. tech,1
b. tech,1
b. tech,1
b. tech,1
b.com honours,1
b.com honours,1
b.com honours,1
honors (bsc/msc),1
statistics,1
mathematics,1
computer science and engineering,1
statistics,1
b.sc nursing,1
statistics,2
statistics,4
statistics,1
honors (bsc/msc),1
statistics,1
statistics,1
b. tech,4
computer science and engineering,1
b.tech in electronics and communication engineering,1
b. tech,1
computer science and engineering,1
computer science and engineering,1
b.tech in electronics and communication engineering,1
b.tech in electronics and communication engineering,1
b.tech in electronics and communication engineering,1
computer science and engineering,2
b. tech,1
bachelor's of computer applications,1
bba,11
bca,6
computer science and engineering,1
mathematics,1
honors (bsc/msc),1
statistics,2
statistics,1
statistics,3
statistics,1
honors (bsc/msc),1
statistics,1
statistics,2
statistics,1
statistics,1
statistics,1
b. tech,2
b.tech in electronics and communication engineering,1
b.tech in electronics and communication engineering,1
b. tech,1
civil engineering,1
computer science and engineering,2
computer science and engineering,1
computer science and engineering,6
computer science and engineering,5
computer science and engineering,3
computer science and engineering,3
dental surgery,1
mathematics,1
diploma on travel and tourism management,1
b.tech in electronics and communication engineering,3
economics,2
electrical and electronics engineering,1
electrical and electronics engineering,1
electrical and electronics engineering,1
electrical and electronics engineering,8
electrical and electronics engineering,1
electrical and electronics engineering,1
electrical and electronics engineering,1
electrical and electronics engineering,1
electrical and electronics engineering,1
electrical and electronics engineering,1
energy engineering,1
engineering,188
english honours,1
filed of study,1
honors (bsc/msc),1
honors (bsc/msc),1
h.s passed,1
honors (bsc/msc),337
independent cyber security researcher,1
information technology,1
instrumentation engineer,1
information technology,1
leather technology,2
library and information science,1
mathematics,1
honors (bsc/msc),1
mathematics,1
honors (bsc/msc),2
mathematics,1
mathematics,1
mathematics,1
mathematics,4
mathematics,1
mathematics,2
m.sc(electronics),1
mathematics,2
mathematics,1
mathematics,1
mathematics,1
mathematics,24
mathematics,1
mathematics,1
mathematics,1
mathematics,1
mca,2
me,1
mechanical engineering,1
mechanical engineering,1
mechanical engineering,4
microbiology,1
honors (bsc/msc),1
mathematics,1
msc data science,1
mathematics,4
mathematics,2
mathematics,1
mathematics,4
statistics,1
mathematics,1
others,92
physics,1
mathematics,1
power plant engineering,1
power plant engineering,3
power plant engineering,1
mathematics,2
r,4
sem 3,1
statistics,42
statistics,1
statistics,2
statistics,1
statistics,1
statistics,1
statistics,14
statistics,1
statistics,1
statistics,5
statistics,2
statistics,1
mathematics,1
thermal power plant engineering,1
