Source,counts
friend,3
department,1
whatsapp,1
aiub course solution,1
ankita ghosh,2
friend,2
college,2
college,31
college,1
college,1
college,1
college,1
college,1
college,2
college,2
college,1
college,1
college,1
college,3
college,1
college,1
cse/eee group bangladesh,1
debarchan mukherjee,1
deepa mondal,1
department,1
collage,1
dont know,1
e-leader,1
"edc, diatm",1
email,2
"entrepreneurship development cell, diatm",1
facebook,30
facebook,2
facebook,4
facebook,1
facebook,1
facebook,1
facebook,1
facebook,1
facebook,2
facebook,1
facebook,4
friend,1
friend,1
friend,1
friend,82
friend,2
friend,1
friend,1
friend,1
friend,32
friend,1
friend,1
friend,1
friend,6
friend,1
friend,1
friend,1
friend,3
friend,1
from teachers,1
friend,1
from teachers,1
from teachers,1
college,1
whatsapp,1
from tuition,1
whatsapp,1
whatsapp,2
friend,1
friend,1
group invite link,1
department,1
friend,1
facebook,1
college,1
ijaz mahamud fuad,1
instagram,1
internet,3
jobs for nsuers,2
krishnamita banerjee,4
krishnamita banerjee,1
friend,1
friend,1
linkedin,2
lisha ghosh,1
mail,1
mail,1
manish,1
md. rezwan hosaain naeem,1
monojit saha,1
mr. tulshi das mukherjee,1
friend,1
friend,9
friend,1
friend,1
friend,1
nairanjana sarkar,3
naser abdullah alam,1
newspaper,1
nil,1
no,1
friend,1
friend,1
friend,2
one of my teacher told me about this,1
online,1
other students,1
pritama roy,1
professor,5
rajeshwari pal,1
rajeswari pal,3
ritick sarkar,1
rittick npti,1
rohan,3
rohan rakshit,2
sanghamitra majumdar,1
sanghamitra majumder,5
friend,1
snehashis debnath,1
social media,7
softanbees free boot camp program,1
softanbees free boot camp program,1
soumya brata mahapatra,1
soumya dutta,1
source of reference,1
statistics tuition sir,1
statistics tuition sir,1
college,1
subham sah/manish kumar,1
subhra roy,1
sudip nandi,1
surjo ghosh,1
tdm sir,1
teacher,3
teacher,1
friend,2
college,1
tm sir group,1
tuition batch,1
tuition batch,1
tuition teacher,1
tuition teacher,2
tuition teacher,1
"tulshidas mukhopadhyay, kolkata",1
"tulshidas mukhopadhyay, kolkata",1
tulsidas mukherjee,1
tulsidas mukherjee,1
tulsidas mukherjee,1
tuition teacher,2
tulsidas mukherjee,1
tuition teacher,1
department,1
friend,1
friend,2
whatsapp,1
whatsapp,1
webminar,1
whatsapp,1
whatsapp,1
whatsapp,1
whatsapp,15
whatsapp,1
whatsapp,12
whatsapp,1
